customer_id,tenure_months,monthly_charges,contract_type,payment_method,num_complaints,churn
C000000,51,85.09,one-year,credit-card,1,0
C000001,8,110.97,month-to-month,credit-card,0,1
C000002,31,29.07,one-year,bank-transfer,0,0
C000003,29,83.06,two-year,electronic-check,3,0
C000004,7,117.63,two-year,credit-card,0,0
C000005,19,74.07,month-to-month,electronic-check,0,1
C000006,25,57.24,two-year,electronic-check,1,0
C000007,27,69.64,two-year,electronic-check,0,0
C000008,59,56.16,one-year,credit-card,1,0
C000009,11,77.44,two-year,electronic-check,0,0
C000010,37,80.9,one-year,credit-card,0,0
C000011,44,35.2,one-year,bank-transfer,0,0
C000012,72,77.3,two-year,bank-transfer,0,0
C000013,59,26.88,one-year,credit-card,3,0
C000014,9,26.07,one-year,electronic-check,0,0
C000015,58,48.46,two-year,bank-transfer,2,0
C000016,60,55.55,one-year,electronic-check,0,1
C000017,37,32.93,month-to-month,credit-card,0,1
C000018,58,60.16,one-year,bank-transfer,2,1
C000019,36,90.64,one-year,bank-transfer,0,0
C000020,20,28.3,one-year,credit-card,0,0
C000021,24,46.27,month-to-month,credit-card,0,1
C000022,41,115.31,two-year,electronic-check,2,0
C000023,7,65.66,two-year,electronic-check,1,0
C000024,51,30.35,one-year,electronic-check,0,0
C000025,27,64.06,month-to-month,credit-card,0,1
C000026,20,73.66,month-to-month,bank-transfer,0,1
C000027,49,34.86,month-to-month,bank-transfer,3,0
C000028,16,31.54,two-year,bank-transfer,5,0
C000029,40,28.59,one-year,credit-card,1,0
C000030,21,71.63,two-year,credit-card,3,0
C000031,70,111.41,two-year,electronic-check,0,0
C000032,34,71.84,two-year,credit-card,0,0
C000033,65,52.97,month-to-month,credit-card,0,0
C000034,52,93.99,month-to-month,credit-card,0,0
C000035,4,118.96,one-year,bank-transfer,0,0
C000036,45,64.72,month-to-month,electronic-check,4,0
C000037,14,42.68,one-year,credit-card,0,1
C000038,1,67.95,one-year,electronic-check,0,0
C000039,16,110.98,two-year,electronic-check,1,0
C000040,56,98.91,one-year,bank-transfer,0,0
C000041,52,94.34,two-year,credit-card,1,0
C000042,4,35.12,month-to-month,bank-transfer,1,0
C000043,61,85.73,month-to-month,bank-transfer,0,0
C000044,2,99.94,two-year,electronic-check,0,0
C000045,18,63.38,two-year,credit-card,1,0
C000046,28,49.3,month-to-month,credit-card,1,1
C000047,54,103.42,one-year,credit-card,2,0
C000048,67,62.06,one-year,electronic-check,0,0
C000049,3,107.28,month-to-month,credit-card,0,0
C000050,61,81.91,month-to-month,credit-card,0,1
C000051,68,75.54,one-year,credit-card,2,0
C000052,36,24.22,month-to-month,credit-card,0,1
C000053,9,64.32,two-year,electronic-check,4,1
